Entity,cca3,Year,population
Kuwait,KWT,1990,2095350.0
Kuwait,KWT,1991,2031297.0
Kuwait,KWT,1992,1912425.0
Kuwait,KWT,1993,1772607.0
Kuwait,KWT,1994,1659304.0
Kuwait,KWT,1995,1605907.0
Kuwait,KWT,1996,1626858.0
Kuwait,KWT,1997,1710257.0
Kuwait,KWT,1998,1831121.0
Kuwait,KWT,1999,1951642.0
Kuwait,KWT,2000,2045123.0
Kuwait,KWT,2001,2103273.0
Kuwait,KWT,2002,2136991.0
Kuwait,KWT,2003,2161626.0
Kuwait,KWT,2004,2200498.0
Kuwait,KWT,2005,2270196.0
Kuwait,KWT,2006,2373661.0
Kuwait,KWT,2007,2504026.0
Kuwait,KWT,2008,2656010.0
Kuwait,KWT,2009,2821041.0
Kuwait,KWT,2010,2991884.0
Kuwait,KWT,2011,3168054.0
Kuwait,KWT,2012,3348852.0
Kuwait,KWT,2013,3526382.0
Kuwait,KWT,2014,3690939.0
Kuwait,KWT,2015,3835588.0
Kuwait,KWT,2016,3956862.0
Kuwait,KWT,2017,4056102.0
Kuwait,KWT,2018,4137314.0
Kuwait,KWT,2019,4207077.0
Kuwait,KWT,2020,4270563.0
Kuwait,KWT,2021,4328553.0
Kuwait,KWT,2022,4380330.0
