Entity,cca3,Year,population
Lebanon,LBN,1990,2803032.0
Lebanon,LBN,1991,2921700.0
Lebanon,LBN,1992,3076133.0
Lebanon,LBN,1993,3246129.0
Lebanon,LBN,1994,3403359.0
Lebanon,LBN,1995,3528379.0
Lebanon,LBN,1996,3610663.0
Lebanon,LBN,1997,3658425.0
Lebanon,LBN,1998,3693514.0
Lebanon,LBN,1999,3747762.0
Lebanon,LBN,2000,3842774.0
Lebanon,LBN,2001,3990999.0
Lebanon,LBN,2002,4182205.0
Lebanon,LBN,2003,4388378.0
Lebanon,LBN,2004,4569377.0
Lebanon,LBN,2005,4698761.0
Lebanon,LBN,2006,4759760.0
Lebanon,LBN,2007,4767347.0
Lebanon,LBN,2008,4764745.0
Lebanon,LBN,2009,4813026.0
Lebanon,LBN,2010,4953064.0
Lebanon,LBN,2011,5202022.0
Lebanon,LBN,2012,5537620.0
Lebanon,LBN,2013,5913016.0
Lebanon,LBN,2014,6261046.0
Lebanon,LBN,2015,6532681.0
Lebanon,LBN,2016,6714281.0
Lebanon,LBN,2017,6819373.0
Lebanon,LBN,2018,6859408.0
Lebanon,LBN,2019,6855709.0
Lebanon,LBN,2020,6825442.0
Lebanon,LBN,2021,6769151.0
Lebanon,LBN,2022,6684847.0
