Entity,cca3,Year,population
Liberia,LBR,1990,2075917.0
Liberia,LBR,1991,2040141.0
Liberia,LBR,1992,2001612.0
Liberia,LBR,1993,1976701.0
Liberia,LBR,1994,1986491.0
Liberia,LBR,1995,2044657.0
Liberia,LBR,1996,2160480.0
Liberia,LBR,1997,2326210.0
Liberia,LBR,1998,2517472.0
Liberia,LBR,1999,2699708.0
Liberia,LBR,2000,2848447.0
Liberia,LBR,2001,2953928.0
Liberia,LBR,2002,3024727.0
Liberia,LBR,2003,3077055.0
Liberia,LBR,2004,3135654.0
Liberia,LBR,2005,3218114.0
Liberia,LBR,2006,3329211.0
Liberia,LBR,2007,3461911.0
Liberia,LBR,2008,3607863.0
Liberia,LBR,2009,3754129.0
Liberia,LBR,2010,3891357.0
Liberia,LBR,2011,4017446.0
Liberia,LBR,2012,4135662.0
Liberia,LBR,2013,4248337.0
Liberia,LBR,2014,4359508.0
Liberia,LBR,2015,4472229.0
Liberia,LBR,2016,4586788.0
Liberia,LBR,2017,4702224.0
Liberia,LBR,2018,4818976.0
Liberia,LBR,2019,4937374.0
Liberia,LBR,2020,5057677.0
Liberia,LBR,2021,5180208.0
Liberia,LBR,2022,5305119.0
