Entity,cca3,Year,population
Saint Lucia,LCA,1990,138019.0
Saint Lucia,LCA,1991,140001.0
Saint Lucia,LCA,1992,141758.0
Saint Lucia,LCA,1993,143402.0
Saint Lucia,LCA,1994,145080.0
Saint Lucia,LCA,1995,146871.0
Saint Lucia,LCA,1996,148837.0
Saint Lucia,LCA,1997,150920.0
Saint Lucia,LCA,1998,153023.0
Saint Lucia,LCA,1999,154988.0
Saint Lucia,LCA,2000,156737.0
Saint Lucia,LCA,2001,158184.0
Saint Lucia,LCA,2002,159392.0
Saint Lucia,LCA,2003,160530.0
Saint Lucia,LCA,2004,161821.0
Saint Lucia,LCA,2005,163408.0
Saint Lucia,LCA,2006,165378.0
Saint Lucia,LCA,2007,167644.0
Saint Lucia,LCA,2008,170011.0
Saint Lucia,LCA,2009,172223.0
Saint Lucia,LCA,2010,174092.0
Saint Lucia,LCA,2011,175538.0
Saint Lucia,LCA,2012,176654.0
Saint Lucia,LCA,2013,177505.0
Saint Lucia,LCA,2014,178307.0
Saint Lucia,LCA,2015,179131.0
Saint Lucia,LCA,2016,180028.0
Saint Lucia,LCA,2017,180955.0
Saint Lucia,LCA,2018,181890.0
Saint Lucia,LCA,2019,182795.0
Saint Lucia,LCA,2020,183629.0
Saint Lucia,LCA,2021,184401.0
Saint Lucia,LCA,2022,185112.0
