Entity,cca3,Year,population
Liechtenstein,LIE,1990,28790.0
Liechtenstein,LIE,1991,29166.0
Liechtenstein,LIE,1992,29552.0
Liechtenstein,LIE,1993,29987.0
Liechtenstein,LIE,1994,30415.0
Liechtenstein,LIE,1995,30884.0
Liechtenstein,LIE,1996,31354.0
Liechtenstein,LIE,1997,31830.0
Liechtenstein,LIE,1998,32305.0
Liechtenstein,LIE,1999,32765.0
Liechtenstein,LIE,2000,33184.0
Liechtenstein,LIE,2001,33543.0
Liechtenstein,LIE,2002,33885.0
Liechtenstein,LIE,2003,34172.0
Liechtenstein,LIE,2004,34444.0
Liechtenstein,LIE,2005,34718.0
Liechtenstein,LIE,2006,34975.0
Liechtenstein,LIE,2007,35217.0
Liechtenstein,LIE,2008,35469.0
Liechtenstein,LIE,2009,35723.0
Liechtenstein,LIE,2010,35996.0
Liechtenstein,LIE,2011,36299.0
Liechtenstein,LIE,2012,36615.0
Liechtenstein,LIE,2013,36940.0
Liechtenstein,LIE,2014,37219.0
Liechtenstein,LIE,2015,37465.0
Liechtenstein,LIE,2016,37655.0
Liechtenstein,LIE,2017,37805.0
Liechtenstein,LIE,2018,37918.0
Liechtenstein,LIE,2019,38020.0
Liechtenstein,LIE,2020,38137.0
Liechtenstein,LIE,2021,38254.0
Liechtenstein,LIE,2022,38389.0
