Entity,cca3,Year,population
Sri Lanka,LKA,1990,1.7325769E7
Sri Lanka,LKA,1991,1.7535732E7
Sri Lanka,LKA,1992,1.7736827E7
Sri Lanka,LKA,1993,1.7924827E7
Sri Lanka,LKA,1994,1.8094474E7
Sri Lanka,LKA,1995,1.8242917E7
Sri Lanka,LKA,1996,1.836729E7
Sri Lanka,LKA,1997,1.8470897E7
Sri Lanka,LKA,1998,1.8564595E7
Sri Lanka,LKA,1999,1.8663293E7
Sri Lanka,LKA,2000,1.8777606E7
Sri Lanka,LKA,2001,1.8911727E7
Sri Lanka,LKA,2002,1.9062476E7
Sri Lanka,LKA,2003,1.9224036E7
Sri Lanka,LKA,2004,1.9387153E7
Sri Lanka,LKA,2005,1.9544988E7
Sri Lanka,LKA,2006,1.9695977E7
Sri Lanka,LKA,2007,1.9842044E7
Sri Lanka,LKA,2008,1.9983984E7
Sri Lanka,LKA,2009,2.0123508E7
Sri Lanka,LKA,2010,2.0261738E7
Sri Lanka,LKA,2011,2.0398496E7
Sri Lanka,LKA,2012,2.0532599E7
Sri Lanka,LKA,2013,2.0663053E7
Sri Lanka,LKA,2014,2.0788512E7
Sri Lanka,LKA,2015,2.0908024E7
Sri Lanka,LKA,2016,2.1021177E7
Sri Lanka,LKA,2017,2.1128028E7
Sri Lanka,LKA,2018,2.122876E7
Sri Lanka,LKA,2019,2.1323734E7
Sri Lanka,LKA,2020,2.141325E7
Sri Lanka,LKA,2021,2.1497306E7
Sri Lanka,LKA,2022,2.1575844E7
