Entity,cca3,Year,population
Lesotho,LSO,1990,1703757.0
Lesotho,LSO,1991,1742534.0
Lesotho,LSO,1992,1782284.0
Lesotho,LSO,1993,1822237.0
Lesotho,LSO,1994,1861323.0
Lesotho,LSO,1995,1898598.0
Lesotho,LSO,1996,1934294.0
Lesotho,LSO,1997,1968054.0
Lesotho,LSO,1998,1997524.0
Lesotho,LSO,1999,2019732.0
Lesotho,LSO,2000,2032805.0
Lesotho,LSO,2001,2035738.0
Lesotho,LSO,2002,2029832.0
Lesotho,LSO,2003,2018355.0
Lesotho,LSO,2004,2005953.0
Lesotho,LSO,2005,1996115.0
Lesotho,LSO,2006,1989933.0
Lesotho,LSO,2007,1986926.0
Lesotho,LSO,2008,1987130.0
Lesotho,LSO,2009,1990135.0
Lesotho,LSO,2010,1995575.0
Lesotho,LSO,2011,2003793.0
Lesotho,LSO,2012,2014988.0
Lesotho,LSO,2013,2028528.0
Lesotho,LSO,2014,2043448.0
Lesotho,LSO,2015,2059011.0
Lesotho,LSO,2016,2075041.0
Lesotho,LSO,2017,2091532.0
Lesotho,LSO,2018,2108327.0
Lesotho,LSO,2019,2125267.0
Lesotho,LSO,2020,2142252.0
Lesotho,LSO,2021,2159067.0
Lesotho,LSO,2022,2175695.0
