Entity,cca3,Year,population
Lithuania,LTU,1990,3696035.0
Lithuania,LTU,1991,3697451.0
Lithuania,LTU,1992,3688103.0
Lithuania,LTU,1993,3670653.0
Lithuania,LTU,1994,3649142.0
Lithuania,LTU,1995,3626609.0
Lithuania,LTU,1996,3603756.0
Lithuania,LTU,1997,3579911.0
Lithuania,LTU,1998,3555140.0
Lithuania,LTU,1999,3529189.0
Lithuania,LTU,2000,3501842.0
Lithuania,LTU,2001,3473623.0
Lithuania,LTU,2002,3444777.0
Lithuania,LTU,2003,3414367.0
Lithuania,LTU,2004,3381134.0
Lithuania,LTU,2005,3344259.0
Lithuania,LTU,2006,3303329.0
Lithuania,LTU,2007,3258984.0
Lithuania,LTU,2008,3212867.0
Lithuania,LTU,2009,3167270.0
Lithuania,LTU,2010,3123825.0
Lithuania,LTU,2011,3083402.0
Lithuania,LTU,2012,3045561.0
Lithuania,LTU,2013,3008938.0
Lithuania,LTU,2014,2971498.0
Lithuania,LTU,2015,2931872.0
Lithuania,LTU,2016,2889555.0
Lithuania,LTU,2017,2845419.0
Lithuania,LTU,2018,2801270.0
Lithuania,LTU,2019,2759631.0
Lithuania,LTU,2020,2722291.0
Lithuania,LTU,2021,2689862.0
Lithuania,LTU,2022,2661704.0
