Entity,cca3,Year,population
Luxembourg,LUX,1990,381780.0
Luxembourg,LUX,1991,386356.0
Luxembourg,LUX,1992,391397.0
Luxembourg,LUX,1993,396812.0
Luxembourg,LUX,1994,402435.0
Luxembourg,LUX,1995,408145.0
Luxembourg,LUX,1996,413999.0
Luxembourg,LUX,1997,419979.0
Luxembourg,LUX,1998,425828.0
Luxembourg,LUX,1999,431263.0
Luxembourg,LUX,2000,436106.0
Luxembourg,LUX,2001,440197.0
Luxembourg,LUX,2002,443727.0
Luxembourg,LUX,2003,447317.0
Luxembourg,LUX,2004,451822.0
Luxembourg,LUX,2005,457848.0
Luxembourg,LUX,2006,465611.0
Luxembourg,LUX,2007,474917.0
Luxembourg,LUX,2008,485403.0
Luxembourg,LUX,2009,496536.0
Luxembourg,LUX,2010,507890.0
Luxembourg,LUX,2011,519312.0
Luxembourg,LUX,2012,530855.0
Luxembourg,LUX,2013,542554.0
Luxembourg,LUX,2014,554512.0
Luxembourg,LUX,2015,566741.0
Luxembourg,LUX,2016,579266.0
Luxembourg,LUX,2017,591914.0
Luxembourg,LUX,2018,604244.0
Luxembourg,LUX,2019,615730.0
Luxembourg,LUX,2020,625976.0
Luxembourg,LUX,2021,634814.0
Luxembourg,LUX,2022,642367.0
