Entity,cca3,Year,population
Latvia,LVA,1990,2664447.0
Latvia,LVA,1991,2649161.0
Latvia,LVA,1992,2620254.0
Latvia,LVA,1993,2582658.0
Latvia,LVA,1994,2543632.0
Latvia,LVA,1995,2508476.0
Latvia,LVA,1996,2478832.0
Latvia,LVA,1997,2453310.0
Latvia,LVA,1998,2430546.0
Latvia,LVA,1999,2408088.0
Latvia,LVA,2000,2384150.0
Latvia,LVA,2001,2358689.0
Latvia,LVA,2002,2332528.0
Latvia,LVA,2003,2305845.0
Latvia,LVA,2004,2278922.0
Latvia,LVA,2005,2251996.0
Latvia,LVA,2006,2225063.0
Latvia,LVA,2007,2198089.0
Latvia,LVA,2008,2171248.0
Latvia,LVA,2009,2144784.0
Latvia,LVA,2010,2118855.0
Latvia,LVA,2011,2093606.0
Latvia,LVA,2012,2069018.0
Latvia,LVA,2013,2044950.0
Latvia,LVA,2014,2021220.0
Latvia,LVA,2015,1997675.0
Latvia,LVA,2016,1974265.0
Latvia,LVA,2017,1951097.0
Latvia,LVA,2018,1928461.0
Latvia,LVA,2019,1906740.0
Latvia,LVA,2020,1886202.0
Latvia,LVA,2021,1866934.0
Latvia,LVA,2022,1848834.0
