Entity,cca3,Year,population
Macao,MAC,1990,343816.0
Macao,MAC,1991,353623.0
Macao,MAC,1992,362308.0
Macao,MAC,1993,370195.0
Macao,MAC,1994,377805.0
Macao,MAC,1995,385517.0
Macao,MAC,1996,393376.0
Macao,MAC,1997,401353.0
Macao,MAC,1998,409620.0
Macao,MAC,1999,418388.0
Macao,MAC,2000,427772.0
Macao,MAC,2001,437928.0
Macao,MAC,2002,448813.0
Macao,MAC,2003,460157.0
Macao,MAC,2004,471600.0
Macao,MAC,2005,482863.0
Macao,MAC,2006,493804.0
Macao,MAC,2007,504504.0
Macao,MAC,2008,515232.0
Macao,MAC,2009,526401.0
Macao,MAC,2010,538215.0
Macao,MAC,2011,550833.0
Macao,MAC,2012,564037.0
Macao,MAC,2013,577368.0
Macao,MAC,2014,590210.0
Macao,MAC,2015,602093.0
Macao,MAC,2016,612824.0
Macao,MAC,2017,622578.0
Macao,MAC,2018,631633.0
Macao,MAC,2019,640446.0
Macao,MAC,2020,649342.0
Macao,MAC,2021,658391.0
Macao,MAC,2022,667492.0
