Entity,cca3,Year,population
Saint Martin (French part),MAF,1990,31522.0
Saint Martin (French part),MAF,1991,32441.0
Saint Martin (French part),MAF,1992,31816.0
Saint Martin (French part),MAF,1993,30194.0
Saint Martin (French part),MAF,1994,28482.0
Saint Martin (French part),MAF,1995,27320.0
Saint Martin (French part),MAF,1996,26854.0
Saint Martin (French part),MAF,1997,26910.0
Saint Martin (French part),MAF,1998,27388.0
Saint Martin (French part),MAF,1999,28122.0
Saint Martin (French part),MAF,2000,28935.0
Saint Martin (French part),MAF,2001,29847.0
Saint Martin (French part),MAF,2002,30913.0
Saint Martin (French part),MAF,2003,32055.0
Saint Martin (French part),MAF,2004,33187.0
Saint Martin (French part),MAF,2005,34252.0
Saint Martin (French part),MAF,2006,35240.0
Saint Martin (French part),MAF,2007,36138.0
Saint Martin (French part),MAF,2008,36880.0
Saint Martin (French part),MAF,2009,37380.0
Saint Martin (French part),MAF,2010,37582.0
Saint Martin (French part),MAF,2011,37451.0
Saint Martin (French part),MAF,2012,37012.0
Saint Martin (French part),MAF,2013,36458.0
Saint Martin (French part),MAF,2014,36018.0
Saint Martin (French part),MAF,2015,35865.0
Saint Martin (French part),MAF,2016,36061.0
Saint Martin (French part),MAF,2017,36569.0
Saint Martin (French part),MAF,2018,37264.0
Saint Martin (French part),MAF,2019,38002.0
Saint Martin (French part),MAF,2020,38659.0
Saint Martin (French part),MAF,2021,39239.0
Saint Martin (French part),MAF,2022,39732.0
