Entity,cca3,Year,population
Morocco,MAR,1990,2.4807461E7
Morocco,MAR,1991,2.5260407E7
Morocco,MAR,1992,2.571141E7
Morocco,MAR,1993,2.6155204E7
Morocco,MAR,1994,2.6584473E7
Morocco,MAR,1995,2.6994255E7
Morocco,MAR,1996,2.7383472E7
Morocco,MAR,1997,2.7754573E7
Morocco,MAR,1998,2.8110447E7
Morocco,MAR,1999,2.8455504E7
Morocco,MAR,2000,2.8793672E7
Morocco,MAR,2001,2.9126323E7
Morocco,MAR,2002,2.9454765E7
Morocco,MAR,2003,2.9782884E7
Morocco,MAR,2004,3.0115196E7
Morocco,MAR,2005,3.0455563E7
Morocco,MAR,2006,3.0804689E7
Morocco,MAR,2007,3.116367E7
Morocco,MAR,2008,3.1536807E7
Morocco,MAR,2009,3.1929087E7
Morocco,MAR,2010,3.2343384E7
Morocco,MAR,2011,3.278186E7
Morocco,MAR,2012,3.3241898E7
Morocco,MAR,2013,3.3715705E7
Morocco,MAR,2014,3.4192358E7
Morocco,MAR,2015,3.4663608E7
Morocco,MAR,2016,3.5126274E7
Morocco,MAR,2017,3.5581257E7
Morocco,MAR,2018,3.6029089E7
Morocco,MAR,2019,3.6471766E7
Morocco,MAR,2020,3.6910558E7
Morocco,MAR,2021,3.7344787E7
Morocco,MAR,2022,3.7772757E7
