Entity,cca3,Year,population
Monaco,MCO,1990,29433.0
Monaco,MCO,1991,29629.0
Monaco,MCO,1992,29859.0
Monaco,MCO,1993,30145.0
Monaco,MCO,1994,30436.0
Monaco,MCO,1995,30731.0
Monaco,MCO,1996,31001.0
Monaco,MCO,1997,31268.0
Monaco,MCO,1998,31554.0
Monaco,MCO,1999,31836.0
Monaco,MCO,2000,32148.0
Monaco,MCO,2001,32473.0
Monaco,MCO,2002,32804.0
Monaco,MCO,2003,33144.0
Monaco,MCO,2004,33499.0
Monaco,MCO,2005,33842.0
Monaco,MCO,2006,34189.0
Monaco,MCO,2007,34524.0
Monaco,MCO,2008,34860.0
Monaco,MCO,2009,35223.0
Monaco,MCO,2010,35609.0
Monaco,MCO,2011,36025.0
Monaco,MCO,2012,36459.0
Monaco,MCO,2013,36899.0
Monaco,MCO,2014,37320.0
Monaco,MCO,2015,37723.0
Monaco,MCO,2016,38070.0
Monaco,MCO,2017,38392.0
Monaco,MCO,2018,38682.0
Monaco,MCO,2019,38967.0
Monaco,MCO,2020,39244.0
Monaco,MCO,2021,39520.0
Monaco,MCO,2022,39778.0
