Entity,cca3,Year,population
Moldova,MDA,1990,4365562.0
Moldova,MDA,1991,4375053.0
Moldova,MDA,1992,4376804.0
Moldova,MDA,1993,4371155.0
Moldova,MDA,1994,4358790.0
Moldova,MDA,1995,4340602.0
Moldova,MDA,1996,4316225.0
Moldova,MDA,1997,4286477.0
Moldova,MDA,1998,4254835.0
Moldova,MDA,1999,4225835.0
Moldova,MDA,2000,4202659.0
Moldova,MDA,2001,4187096.0
Moldova,MDA,2002,4178228.0
Moldova,MDA,2003,4173276.0
Moldova,MDA,2004,4167962.0
Moldova,MDA,2005,4159296.0
Moldova,MDA,2006,4146264.0
Moldova,MDA,2007,4130129.0
Moldova,MDA,2008,4112886.0
Moldova,MDA,2009,4097515.0
Moldova,MDA,2010,4086090.0
Moldova,MDA,2011,4079167.0
Moldova,MDA,2012,4075804.0
Moldova,MDA,2013,4074585.0
Moldova,MDA,2014,4073407.0
Moldova,MDA,2015,4070705.0
Moldova,MDA,2016,4066013.0
Moldova,MDA,2017,4059687.0
Moldova,MDA,2018,4051950.0
Moldova,MDA,2019,4043258.0
Moldova,MDA,2020,4033963.0
Moldova,MDA,2021,4024025.0
Moldova,MDA,2022,4013178.0
