Entity,cca3,Year,population
Madagascar,MDG,1990,1.1598647E7
Madagascar,MDG,1991,1.1942809E7
Madagascar,MDG,1992,1.2301338E7
Madagascar,MDG,1993,1.2675469E7
Madagascar,MDG,1994,1.3066544E7
Madagascar,MDG,1995,1.3475403E7
Madagascar,MDG,1996,1.3902697E7
Madagascar,MDG,1997,1.434786E7
Madagascar,MDG,1998,1.4808791E7
Madagascar,MDG,1999,1.5282524E7
Madagascar,MDG,2000,1.5766806E7
Madagascar,MDG,2001,1.6260933E7
Madagascar,MDG,2002,1.6765122E7
Madagascar,MDG,2003,1.7279139E7
Madagascar,MDG,2004,1.7802992E7
Madagascar,MDG,2005,1.8336722E7
Madagascar,MDG,2006,1.8880265E7
Madagascar,MDG,2007,1.943352E7
Madagascar,MDG,2008,1.9996476E7
Madagascar,MDG,2009,2.0569115E7
Madagascar,MDG,2010,2.115164E7
Madagascar,MDG,2011,2.174397E7
Madagascar,MDG,2012,2.2346641E7
Madagascar,MDG,2013,2.2961259E7
Madagascar,MDG,2014,2.3589897E7
Madagascar,MDG,2015,2.423408E7
Madagascar,MDG,2016,2.489437E7
Madagascar,MDG,2017,2.5570511E7
Madagascar,MDG,2018,2.6262313E7
Madagascar,MDG,2019,2.6969306E7
Madagascar,MDG,2020,2.7691019E7
Madagascar,MDG,2021,2.8427333E7
Madagascar,MDG,2022,2.9178075E7
