Entity,cca3,Year,population
Maldives,MDV,1990,223159.0
Maldives,MDV,1991,229743.0
Maldives,MDV,1992,236271.0
Maldives,MDV,1993,242596.0
Maldives,MDV,1994,248582.0
Maldives,MDV,1995,254144.0
Maldives,MDV,1996,259178.0
Maldives,MDV,1997,263836.0
Maldives,MDV,1998,268445.0
Maldives,MDV,1999,273522.0
Maldives,MDV,2000,279396.0
Maldives,MDV,2001,286309.0
Maldives,MDV,2002,294185.0
Maldives,MDV,2003,302681.0
Maldives,MDV,2004,311265.0
Maldives,MDV,2005,319604.0
Maldives,MDV,2006,327489.0
Maldives,MDV,2007,335172.0
Maldives,MDV,2008,343448.0
Maldives,MDV,2009,353391.0
Maldives,MDV,2010,365730.0
Maldives,MDV,2011,380493.0
Maldives,MDV,2012,397231.0
Maldives,MDV,2013,415592.0
Maldives,MDV,2014,435018.0
Maldives,MDV,2015,454914.0
Maldives,MDV,2016,475505.0
Maldives,MDV,2017,496398.0
Maldives,MDV,2018,515703.0
Maldives,MDV,2019,530957.0
Maldives,MDV,2020,540542.0
Maldives,MDV,2021,543620.0
Maldives,MDV,2022,540985.0
