Entity,cca3,Year,population
Mexico,MEX,1990,8.3943135E7
Mexico,MEX,1991,8.5512621E7
Mexico,MEX,1992,8.7075136E7
Mexico,MEX,1993,8.862544E7
Mexico,MEX,1994,9.0156396E7
Mexico,MEX,1995,9.166329E7
Mexico,MEX,1996,9.3147045E7
Mexico,MEX,1997,9.4611008E7
Mexico,MEX,1998,9.6056313E7
Mexico,MEX,1999,9.7484823E7
Mexico,MEX,2000,9.8899845E7
Mexico,MEX,2001,1.00298152E8
Mexico,MEX,2002,1.01684764E8
Mexico,MEX,2003,1.0308102E8
Mexico,MEX,2004,1.04514934E8
Mexico,MEX,2005,1.06005199E8
Mexico,MEX,2006,1.07560155E8
Mexico,MEX,2007,1.09170503E8
Mexico,MEX,2008,1.10815272E8
Mexico,MEX,2009,1.12463886E8
Mexico,MEX,2010,1.14092961E8
Mexico,MEX,2011,1.15695468E8
Mexico,MEX,2012,1.17274156E8
Mexico,MEX,2013,1.18827158E8
Mexico,MEX,2014,1.20355137E8
Mexico,MEX,2015,1.21858251E8
Mexico,MEX,2016,1.23333379E8
Mexico,MEX,2017,1.24777326E8
Mexico,MEX,2018,1.26190782E8
Mexico,MEX,2019,1.27575529E8
Mexico,MEX,2020,1.28932753E8
Mexico,MEX,2021,1.3026222E8
Mexico,MEX,2022,1.31562775E8
