Entity,cca3,Year,population
Marshall Islands,MHL,1990,47265.0
Marshall Islands,MHL,1991,48403.0
Marshall Islands,MHL,1992,49242.0
Marshall Islands,MHL,1993,49828.0
Marshall Islands,MHL,1994,50214.0
Marshall Islands,MHL,1995,50454.0
Marshall Islands,MHL,1996,50523.0
Marshall Islands,MHL,1997,50453.0
Marshall Islands,MHL,1998,50356.0
Marshall Islands,MHL,1999,50418.0
Marshall Islands,MHL,2000,50754.0
Marshall Islands,MHL,2001,51411.0
Marshall Islands,MHL,2002,52368.0
Marshall Islands,MHL,2003,53465.0
Marshall Islands,MHL,2004,54476.0
Marshall Islands,MHL,2005,55257.0
Marshall Islands,MHL,2006,55765.0
Marshall Islands,MHL,2007,56046.0
Marshall Islands,MHL,2008,56166.0
Marshall Islands,MHL,2009,56255.0
Marshall Islands,MHL,2010,56361.0
Marshall Islands,MHL,2011,56524.0
Marshall Islands,MHL,2012,56712.0
Marshall Islands,MHL,2013,56933.0
Marshall Islands,MHL,2014,57183.0
Marshall Islands,MHL,2015,57444.0
Marshall Islands,MHL,2016,57723.0
Marshall Islands,MHL,2017,58053.0
Marshall Islands,MHL,2018,58412.0
Marshall Islands,MHL,2019,58791.0
Marshall Islands,MHL,2020,59194.0
Marshall Islands,MHL,2021,59618.0
Marshall Islands,MHL,2022,60051.0
