Entity,cca3,Year,population
North Macedonia,MKD,1990,1996218.0
North Macedonia,MKD,1991,1993304.0
North Macedonia,MKD,1992,1988659.0
North Macedonia,MKD,1993,1984024.0
North Macedonia,MKD,1994,1981713.0
North Macedonia,MKD,1995,1983259.0
North Macedonia,MKD,1996,1989441.0
North Macedonia,MKD,1997,1999588.0
North Macedonia,MKD,1998,2012052.0
North Macedonia,MKD,1999,2024393.0
North Macedonia,MKD,2000,2034823.0
North Macedonia,MKD,2001,2042844.0
North Macedonia,MKD,2002,2048929.0
North Macedonia,MKD,2003,2053426.0
North Macedonia,MKD,2004,2057043.0
North Macedonia,MKD,2005,2060280.0
North Macedonia,MKD,2006,2063132.0
North Macedonia,MKD,2007,2065408.0
North Macedonia,MKD,2008,2067309.0
North Macedonia,MKD,2009,2069030.0
North Macedonia,MKD,2010,2070737.0
North Macedonia,MKD,2011,2072484.0
North Macedonia,MKD,2012,2074275.0
North Macedonia,MKD,2013,2076065.0
North Macedonia,MKD,2014,2077780.0
North Macedonia,MKD,2015,2079335.0
North Macedonia,MKD,2016,2080746.0
North Macedonia,MKD,2017,2081996.0
North Macedonia,MKD,2018,2082956.0
North Macedonia,MKD,2019,2083458.0
North Macedonia,MKD,2020,2083380.0
North Macedonia,MKD,2021,2082661.0
North Macedonia,MKD,2022,2081304.0
