Entity,cca3,Year,population
Mali,MLI,1990,8449915.0
Mali,MLI,1991,8635528.0
Mali,MLI,1992,8850334.0
Mali,MLI,1993,9087173.0
Mali,MLI,1994,9334893.0
Mali,MLI,1995,9585660.0
Mali,MLI,1996,9837575.0
Mali,MLI,1997,1.0094363E7
Mali,MLI,1998,1.0360564E7
Mali,MLI,1999,1.0642937E7
Mali,MLI,2000,1.0946448E7
Mali,MLI,2001,1.1271603E7
Mali,MLI,2002,1.161689E7
Mali,MLI,2003,1.1982692E7
Mali,MLI,2004,1.2369078E7
Mali,MLI,2005,1.2775509E7
Mali,MLI,2006,1.3203378E7
Mali,MLI,2007,1.3651455E7
Mali,MLI,2008,1.4113578E7
Mali,MLI,2009,1.4581427E7
Mali,MLI,2010,1.5049352E7
Mali,MLI,2011,1.5514593E7
Mali,MLI,2012,1.5979492E7
Mali,MLI,2013,1.6449854E7
Mali,MLI,2014,1.6934213E7
Mali,MLI,2015,1.7438772E7
Mali,MLI,2016,1.7965448E7
Mali,MLI,2017,1.8512429E7
Mali,MLI,2018,1.9077755E7
Mali,MLI,2019,1.9658023E7
Mali,MLI,2020,2.0250834E7
Mali,MLI,2021,2.0855724E7
Mali,MLI,2022,2.1473776E7
