Entity,cca3,Year,population
Malta,MLT,1990,362017.0
Malta,MLT,1991,364991.0
Malta,MLT,1992,367890.0
Malta,MLT,1993,370774.0
Malta,MLT,1994,373754.0
Malta,MLT,1995,376893.0
Malta,MLT,1996,380259.0
Malta,MLT,1997,383756.0
Malta,MLT,1998,387282.0
Malta,MLT,1999,390626.0
Malta,MLT,2000,393649.0
Malta,MLT,2001,396324.0
Malta,MLT,2002,398720.0
Malta,MLT,2003,400858.0
Malta,MLT,2004,402820.0
Malta,MLT,2005,404659.0
Malta,MLT,2006,406330.0
Malta,MLT,2007,407854.0
Malta,MLT,2008,409493.0
Malta,MLT,2009,411559.0
Malta,MLT,2010,414257.0
Malta,MLT,2011,417720.0
Malta,MLT,2012,421809.0
Malta,MLT,2013,426144.0
Malta,MLT,2014,430190.0
Malta,MLT,2015,433559.0
Malta,MLT,2016,436099.0
Malta,MLT,2017,437935.0
Malta,MLT,2018,439255.0
Malta,MLT,2019,440377.0
Malta,MLT,2020,441539.0
Malta,MLT,2021,442790.0
Malta,MLT,2022,444030.0
