Entity,cca3,Year,population
Myanmar,MMR,1990,4.1335188E7
Myanmar,MMR,1991,4.1890192E7
Myanmar,MMR,1992,4.2401686E7
Myanmar,MMR,1993,4.2889992E7
Myanmar,MMR,1994,4.3383421E7
Myanmar,MMR,1995,4.3901598E7
Myanmar,MMR,1996,4.4452203E7
Myanmar,MMR,1997,4.5027223E7
Myanmar,MMR,1998,4.561122E7
Myanmar,MMR,1999,4.6181075E7
Myanmar,MMR,2000,4.6719698E7
Myanmar,MMR,2001,4.7225119E7
Myanmar,MMR,2002,4.7702163E7
Myanmar,MMR,2003,4.8148907E7
Myanmar,MMR,2004,4.8564489E7
Myanmar,MMR,2005,4.8949931E7
Myanmar,MMR,2006,4.9301049E7
Myanmar,MMR,2007,4.9621479E7
Myanmar,MMR,2008,4.9929642E7
Myanmar,MMR,2009,5.0250366E7
Myanmar,MMR,2010,5.0600827E7
Myanmar,MMR,2011,5.0990612E7
Myanmar,MMR,2012,5.1413703E7
Myanmar,MMR,2013,5.1852464E7
Myanmar,MMR,2014,5.2280816E7
Myanmar,MMR,2015,5.2680724E7
Myanmar,MMR,2016,5.3045199E7
Myanmar,MMR,2017,5.3382521E7
Myanmar,MMR,2018,5.3708318E7
Myanmar,MMR,2019,5.4045422E7
Myanmar,MMR,2020,5.4409794E7
Myanmar,MMR,2021,5.4806014E7
Myanmar,MMR,2022,5.5227152E7
