Entity,cca3,Year,population
Montenegro,MNE,1990,615004.0
Montenegro,MNE,1991,615736.0
Montenegro,MNE,1992,617181.0
Montenegro,MNE,1993,618863.0
Montenegro,MNE,1994,620076.0
Montenegro,MNE,1995,620419.0
Montenegro,MNE,1996,619705.0
Montenegro,MNE,1997,618216.0
Montenegro,MNE,1998,616340.0
Montenegro,MNE,1999,614652.0
Montenegro,MNE,2000,613558.0
Montenegro,MNE,2001,613170.0
Montenegro,MNE,2002,613371.0
Montenegro,MNE,2003,614081.0
Montenegro,MNE,2004,615137.0
Montenegro,MNE,2005,616388.0
Montenegro,MNE,2006,617863.0
Montenegro,MNE,2007,619554.0
Montenegro,MNE,2008,621312.0
Montenegro,MNE,2009,622933.0
Montenegro,MNE,2010,624279.0
Montenegro,MNE,2011,625271.0
Montenegro,MNE,2012,625931.0
Montenegro,MNE,2013,626342.0
Montenegro,MNE,2014,626650.0
Montenegro,MNE,2015,626957.0
Montenegro,MNE,2016,627271.0
Montenegro,MNE,2017,627563.0
Montenegro,MNE,2018,627803.0
Montenegro,MNE,2019,627988.0
Montenegro,MNE,2020,628062.0
Montenegro,MNE,2021,628051.0
Montenegro,MNE,2022,627951.0
