Entity,cca3,Year,population
Northern Mariana Islands,MNP,1990,45752.0
Northern Mariana Islands,MNP,1991,46662.0
Northern Mariana Islands,MNP,1992,46473.0
Northern Mariana Islands,MNP,1993,45763.0
Northern Mariana Islands,MNP,1994,45361.0
Northern Mariana Islands,MNP,1995,45872.0
Northern Mariana Islands,MNP,1996,47518.0
Northern Mariana Islands,MNP,1997,50052.0
Northern Mariana Islands,MNP,1998,52999.0
Northern Mariana Islands,MNP,1999,55633.0
Northern Mariana Islands,MNP,2000,57453.0
Northern Mariana Islands,MNP,2001,58319.0
Northern Mariana Islands,MNP,2002,58412.0
Northern Mariana Islands,MNP,2003,57954.0
Northern Mariana Islands,MNP,2004,57240.0
Northern Mariana Islands,MNP,2005,56547.0
Northern Mariana Islands,MNP,2006,55886.0
Northern Mariana Islands,MNP,2007,55215.0
Northern Mariana Islands,MNP,2008,54621.0
Northern Mariana Islands,MNP,2009,54194.0
Northern Mariana Islands,MNP,2010,53971.0
Northern Mariana Islands,MNP,2011,54013.0
Northern Mariana Islands,MNP,2012,54306.0
Northern Mariana Islands,MNP,2013,54786.0
Northern Mariana Islands,MNP,2014,55301.0
Northern Mariana Islands,MNP,2015,55779.0
Northern Mariana Islands,MNP,2016,56187.0
Northern Mariana Islands,MNP,2017,56553.0
Northern Mariana Islands,MNP,2018,56889.0
Northern Mariana Islands,MNP,2019,57213.0
Northern Mariana Islands,MNP,2020,57557.0
Northern Mariana Islands,MNP,2021,57910.0
Northern Mariana Islands,MNP,2022,58271.0
