Entity,cca3,Year,population
Mozambique,MOZ,1990,1.2987292E7
Mozambique,MOZ,1991,1.3328029E7
Mozambique,MOZ,1992,1.3805999E7
Mozambique,MOZ,1993,1.437095E7
Mozambique,MOZ,1994,1.494805E7
Mozambique,MOZ,1995,1.5483277E7
Mozambique,MOZ,1996,1.5960445E7
Mozambique,MOZ,1997,1.6397175E7
Mozambique,MOZ,1998,1.6813946E7
Mozambique,MOZ,1999,1.7244176E7
Mozambique,MOZ,2000,1.7711925E7
Mozambique,MOZ,2001,1.8221884E7
Mozambique,MOZ,2002,1.8764147E7
Mozambique,MOZ,2003,1.9331097E7
Mozambique,MOZ,2004,1.9910549E7
Mozambique,MOZ,2005,2.0493927E7
Mozambique,MOZ,2006,2.1080108E7
Mozambique,MOZ,2007,2.1673319E7
Mozambique,MOZ,2008,2.2276596E7
Mozambique,MOZ,2009,2.2894718E7
Mozambique,MOZ,2010,2.3531567E7
Mozambique,MOZ,2011,2.41875E7
Mozambique,MOZ,2012,2.4862673E7
Mozambique,MOZ,2013,2.5560752E7
Mozambique,MOZ,2014,2.6286192E7
Mozambique,MOZ,2015,2.7042001E7
Mozambique,MOZ,2016,2.782993E7
Mozambique,MOZ,2017,2.8649007E7
Mozambique,MOZ,2018,2.9496009E7
Mozambique,MOZ,2019,3.0366043E7
Mozambique,MOZ,2020,3.1255435E7
Mozambique,MOZ,2021,3.2163045E7
Mozambique,MOZ,2022,3.3089463E7
