Entity,cca3,Year,population
Mauritania,MRT,1990,2034347.0
Mauritania,MRT,1991,2087914.0
Mauritania,MRT,1992,2142645.0
Mauritania,MRT,1993,2198538.0
Mauritania,MRT,1994,2255520.0
Mauritania,MRT,1995,2313630.0
Mauritania,MRT,1996,2372900.0
Mauritania,MRT,1997,2433567.0
Mauritania,MRT,1998,2496217.0
Mauritania,MRT,1999,2561584.0
Mauritania,MRT,2000,2630217.0
Mauritania,MRT,2001,2702405.0
Mauritania,MRT,2002,2778097.0
Mauritania,MRT,2003,2857150.0
Mauritania,MRT,2004,2939246.0
Mauritania,MRT,2005,3024198.0
Mauritania,MRT,2006,3111908.0
Mauritania,MRT,2007,3202512.0
Mauritania,MRT,2008,3296237.0
Mauritania,MRT,2009,3393408.0
Mauritania,MRT,2010,3494200.0
Mauritania,MRT,2011,3598646.0
Mauritania,MRT,2012,3706555.0
Mauritania,MRT,2013,3817497.0
Mauritania,MRT,2014,3930894.0
Mauritania,MRT,2015,4046304.0
Mauritania,MRT,2016,4163532.0
Mauritania,MRT,2017,4282582.0
Mauritania,MRT,2018,4403312.0
Mauritania,MRT,2019,4525698.0
Mauritania,MRT,2020,4649660.0
Mauritania,MRT,2021,4775110.0
Mauritania,MRT,2022,4901979.0
