Entity,cca3,Year,population
Montserrat,MSR,1990,10616.0
Montserrat,MSR,1991,10627.0
Montserrat,MSR,1992,10659.0
Montserrat,MSR,1993,10598.0
Montserrat,MSR,1994,10362.0
Montserrat,MSR,1995,9848.0
Montserrat,MSR,1996,9014.0
Montserrat,MSR,1997,7927.0
Montserrat,MSR,1998,6745.0
Montserrat,MSR,1999,5693.0
Montserrat,MSR,2000,4925.0
Montserrat,MSR,2001,4528.0
Montserrat,MSR,2002,4431.0
Montserrat,MSR,2003,4533.0
Montserrat,MSR,2004,4703.0
Montserrat,MSR,2005,4842.0
Montserrat,MSR,2006,4890.0
Montserrat,MSR,2007,4916.0
Montserrat,MSR,2008,4906.0
Montserrat,MSR,2009,4891.0
Montserrat,MSR,2010,4895.0
Montserrat,MSR,2011,4913.0
Montserrat,MSR,2012,4930.0
Montserrat,MSR,2013,4932.0
Montserrat,MSR,2014,4952.0
Montserrat,MSR,2015,4966.0
Montserrat,MSR,2016,4978.0
Montserrat,MSR,2017,4989.0
Montserrat,MSR,2018,4993.0
Montserrat,MSR,2019,4991.0
Montserrat,MSR,2020,4999.0
Montserrat,MSR,2021,4981.0
Montserrat,MSR,2022,4968.0
