Entity,cca3,Year,population
Mauritius,MUS,1990,1055869.0
Mauritius,MUS,1991,1068433.0
Mauritius,MUS,1992,1082948.0
Mauritius,MUS,1993,1098604.0
Mauritius,MUS,1994,1114146.0
Mauritius,MUS,1995,1128676.0
Mauritius,MUS,1996,1141952.0
Mauritius,MUS,1997,1154141.0
Mauritius,MUS,1998,1165292.0
Mauritius,MUS,1999,1175571.0
Mauritius,MUS,2000,1185147.0
Mauritius,MUS,2001,1193911.0
Mauritius,MUS,2002,1201805.0
Mauritius,MUS,2003,1208992.0
Mauritius,MUS,2004,1215668.0
Mauritius,MUS,2005,1222010.0
Mauritius,MUS,2006,1228089.0
Mauritius,MUS,2007,1233890.0
Mauritius,MUS,2008,1239262.0
Mauritius,MUS,2009,1243996.0
Mauritius,MUS,2010,1247953.0
Mauritius,MUS,2011,1251074.0
Mauritius,MUS,2012,1253489.0
Mauritius,MUS,2013,1255458.0
Mauritius,MUS,2014,1257351.0
Mauritius,MUS,2015,1259457.0
Mauritius,MUS,2016,1261870.0
Mauritius,MUS,2017,1264497.0
Mauritius,MUS,2018,1267184.0
Mauritius,MUS,2019,1269670.0
Mauritius,MUS,2020,1271767.0
Mauritius,MUS,2021,1273428.0
Mauritius,MUS,2022,1274720.0
