Entity,cca3,Year,population
Malawi,MWI,1990,9404499.0
Malawi,MWI,1991,9600361.0
Malawi,MWI,1992,9685974.0
Malawi,MWI,1993,9710335.0
Malawi,MWI,1994,9745695.0
Malawi,MWI,1995,9844418.0
Malawi,MWI,1996,1.0022783E7
Malawi,MWI,1997,1.0264906E7
Malawi,MWI,1998,1.0552345E7
Malawi,MWI,1999,1.0854325E7
Malawi,MWI,2000,1.1148751E7
Malawi,MWI,2001,1.1432001E7
Malawi,MWI,2002,1.1713663E7
Malawi,MWI,2003,1.2000183E7
Malawi,MWI,2004,1.2301837E7
Malawi,MWI,2005,1.262595E7
Malawi,MWI,2006,1.2973693E7
Malawi,MWI,2007,1.3341808E7
Malawi,MWI,2008,1.3727899E7
Malawi,MWI,2009,1.4128161E7
Malawi,MWI,2010,1.4539609E7
Malawi,MWI,2011,1.4962118E7
Malawi,MWI,2012,1.539601E7
Malawi,MWI,2013,1.5839287E7
Malawi,MWI,2014,1.628955E7
Malawi,MWI,2015,1.6745305E7
Malawi,MWI,2016,1.7205253E7
Malawi,MWI,2017,1.7670193E7
Malawi,MWI,2018,1.8143215E7
Malawi,MWI,2019,1.8628749E7
Malawi,MWI,2020,1.9129955E7
Malawi,MWI,2021,1.9647681E7
Malawi,MWI,2022,2.0180838E7
