Entity,cca3,Year,population
Malaysia,MYS,1990,1.8029824E7
Malaysia,MYS,1991,1.8519941E7
Malaysia,MYS,1992,1.900266E7
Malaysia,MYS,1993,1.9484901E7
Malaysia,MYS,1994,1.9977508E7
Malaysia,MYS,1995,2.0487604E7
Malaysia,MYS,1996,2.1017619E7
Malaysia,MYS,1997,2.156279E7
Malaysia,MYS,1998,2.2114647E7
Malaysia,MYS,1999,2.2661293E7
Malaysia,MYS,2000,2.3194252E7
Malaysia,MYS,2001,2.3709115E7
Malaysia,MYS,2002,2.4208391E7
Malaysia,MYS,2003,2.4698821E7
Malaysia,MYS,2004,2.5190647E7
Malaysia,MYS,2005,2.5690615E7
Malaysia,MYS,2006,2.6201954E7
Malaysia,MYS,2007,2.6720367E7
Malaysia,MYS,2008,2.7236003E7
Malaysia,MYS,2009,2.7735038E7
Malaysia,MYS,2010,2.8208028E7
Malaysia,MYS,2011,2.8650962E7
Malaysia,MYS,2012,2.9068189E7
Malaysia,MYS,2013,2.9468923E7
Malaysia,MYS,2014,2.9866606E7
Malaysia,MYS,2015,3.0270965E7
Malaysia,MYS,2016,3.0684652E7
Malaysia,MYS,2017,3.1104655E7
Malaysia,MYS,2018,3.1528033E7
Malaysia,MYS,2019,3.1949789E7
Malaysia,MYS,2020,3.2365998E7
Malaysia,MYS,2021,3.2776195E7
Malaysia,MYS,2022,3.3181078E7
