Entity,cca3,Year,population
Mayotte,MYT,1990,94779.0
Mayotte,MYT,1991,100164.0
Mayotte,MYT,1992,105826.0
Mayotte,MYT,1993,111633.0
Mayotte,MYT,1994,117470.0
Mayotte,MYT,1995,123186.0
Mayotte,MYT,1996,128752.0
Mayotte,MYT,1997,134206.0
Mayotte,MYT,1998,139575.0
Mayotte,MYT,1999,144930.0
Mayotte,MYT,2000,150331.0
Mayotte,MYT,2001,155756.0
Mayotte,MYT,2002,161204.0
Mayotte,MYT,2003,166715.0
Mayotte,MYT,2004,172345.0
Mayotte,MYT,2005,178103.0
Mayotte,MYT,2006,184026.0
Mayotte,MYT,2007,190098.0
Mayotte,MYT,2008,196269.0
Mayotte,MYT,2009,202494.0
Mayotte,MYT,2010,208716.0
Mayotte,MYT,2011,214937.0
Mayotte,MYT,2012,221147.0
Mayotte,MYT,2013,227376.0
Mayotte,MYT,2014,233658.0
Mayotte,MYT,2015,240011.0
Mayotte,MYT,2016,246460.0
Mayotte,MYT,2017,252962.0
Mayotte,MYT,2018,259526.0
Mayotte,MYT,2019,266153.0
Mayotte,MYT,2020,272813.0
Mayotte,MYT,2021,279507.0
Mayotte,MYT,2022,286254.0
