Entity,cca3,Year,population
New Caledonia,NCL,1990,170335.0
New Caledonia,NCL,1991,174336.0
New Caledonia,NCL,1992,178759.0
New Caledonia,NCL,1993,183481.0
New Caledonia,NCL,1994,188366.0
New Caledonia,NCL,1995,193296.0
New Caledonia,NCL,1996,198237.0
New Caledonia,NCL,1997,203185.0
New Caledonia,NCL,1998,208065.0
New Caledonia,NCL,1999,212782.0
New Caledonia,NCL,2000,217263.0
New Caledonia,NCL,2001,221499.0
New Caledonia,NCL,2002,225482.0
New Caledonia,NCL,2003,229251.0
New Caledonia,NCL,2004,232881.0
New Caledonia,NCL,2005,236441.0
New Caledonia,NCL,2006,239924.0
New Caledonia,NCL,2007,243332.0
New Caledonia,NCL,2008,246696.0
New Caledonia,NCL,2009,250082.0
New Caledonia,NCL,2010,253529.0
New Caledonia,NCL,2011,257065.0
New Caledonia,NCL,2012,260656.0
New Caledonia,NCL,2013,264239.0
New Caledonia,NCL,2014,267732.0
New Caledonia,NCL,2015,271062.0
New Caledonia,NCL,2016,274190.0
New Caledonia,NCL,2017,277159.0
New Caledonia,NCL,2018,279986.0
New Caledonia,NCL,2019,282757.0
New Caledonia,NCL,2020,285491.0
New Caledonia,NCL,2021,288217.0
New Caledonia,NCL,2022,290924.0
