Entity,cca3,Year,population
Niger,NER,1990,8026592.0
Niger,NER,1991,8288739.0
Niger,NER,1992,8566773.0
Niger,NER,1993,8860297.0
Niger,NER,1994,9168316.0
Niger,NER,1995,9490289.0
Niger,NER,1996,9826600.0
Niger,NER,1997,1.0178196E7
Niger,NER,1998,1.054572E7
Niger,NER,1999,1.0929922E7
Niger,NER,2000,1.1331561E7
Niger,NER,2001,1.1751364E7
Niger,NER,2002,1.2189988E7
Niger,NER,2003,1.2647983E7
Niger,NER,2004,1.3125914E7
Niger,NER,2005,1.3624474E7
Niger,NER,2006,1.4143969E7
Niger,NER,2007,1.4685404E7
Niger,NER,2008,1.5250913E7
Niger,NER,2009,1.5843131E7
Niger,NER,2010,1.6464025E7
Niger,NER,2011,1.711477E7
Niger,NER,2012,1.7795209E7
Niger,NER,2013,1.8504287E7
Niger,NER,2014,1.9240182E7
Niger,NER,2015,2.0001663E7
Niger,NER,2016,2.0788789E7
Niger,NER,2017,2.1602388E7
Niger,NER,2018,2.2442831E7
Niger,NER,2019,2.3310719E7
Niger,NER,2020,2.4206636E7
Niger,NER,2021,2.513081E7
Niger,NER,2022,2.608366E7
