Entity,cca3,Year,population
Nicaragua,NIC,1990,4173435.0
Nicaragua,NIC,1991,4267570.0
Nicaragua,NIC,1992,4364514.0
Nicaragua,NIC,1993,4462496.0
Nicaragua,NIC,1994,4559010.0
Nicaragua,NIC,1995,4652185.0
Nicaragua,NIC,1996,4741571.0
Nicaragua,NIC,1997,4827658.0
Nicaragua,NIC,1998,4910642.0
Nicaragua,NIC,1999,4991041.0
Nicaragua,NIC,2000,5069310.0
Nicaragua,NIC,2001,5145367.0
Nicaragua,NIC,2002,5219324.0
Nicaragua,NIC,2003,5292115.0
Nicaragua,NIC,2004,5364930.0
Nicaragua,NIC,2005,5438692.0
Nicaragua,NIC,2006,5513757.0
Nicaragua,NIC,2007,5590066.0
Nicaragua,NIC,2008,5667436.0
Nicaragua,NIC,2009,5745538.0
Nicaragua,NIC,2010,5824058.0
Nicaragua,NIC,2011,5903035.0
Nicaragua,NIC,2012,5982530.0
Nicaragua,NIC,2013,6062462.0
Nicaragua,NIC,2014,6142734.0
Nicaragua,NIC,2015,6223234.0
Nicaragua,NIC,2016,6303970.0
Nicaragua,NIC,2017,6384843.0
Nicaragua,NIC,2018,6465502.0
Nicaragua,NIC,2019,6545503.0
Nicaragua,NIC,2020,6624554.0
Nicaragua,NIC,2021,6702379.0
Nicaragua,NIC,2022,6779096.0
