Entity,cca3,Year,population
Niue,NIU,1990,2332.0
Niue,NIU,1991,2292.0
Niue,NIU,1992,2261.0
Niue,NIU,1993,2228.0
Niue,NIU,1994,2201.0
Niue,NIU,1995,2161.0
Niue,NIU,1996,2124.0
Niue,NIU,1997,2069.0
Niue,NIU,1998,2009.0
Niue,NIU,1999,1953.0
Niue,NIU,2000,1902.0
Niue,NIU,2001,1843.0
Niue,NIU,2002,1795.0
Niue,NIU,2003,1748.0
Niue,NIU,2004,1713.0
Niue,NIU,2005,1688.0
Niue,NIU,2006,1667.0
Niue,NIU,2007,1647.0
Niue,NIU,2008,1633.0
Niue,NIU,2009,1622.0
Niue,NIU,2010,1622.0
Niue,NIU,2011,1618.0
Niue,NIU,2012,1606.0
Niue,NIU,2013,1606.0
Niue,NIU,2014,1607.0
Niue,NIU,2015,1610.0
Niue,NIU,2016,1611.0
Niue,NIU,2017,1612.0
Niue,NIU,2018,1610.0
Niue,NIU,2019,1614.0
Niue,NIU,2020,1618.0
Niue,NIU,2021,1614.0
Niue,NIU,2022,1616.0
