Entity,cca3,Year,population
Netherlands,NLD,1990,1.4965442E7
Netherlands,NLD,1991,1.5064522E7
Netherlands,NLD,1992,1.5165856E7
Netherlands,NLD,1993,1.5268005E7
Netherlands,NLD,1994,1.5369121E7
Netherlands,NLD,1995,1.5467852E7
Netherlands,NLD,1996,1.5563252E7
Netherlands,NLD,1997,1.5655482E7
Netherlands,NLD,1998,1.574565E7
Netherlands,NLD,1999,1.5835525E7
Netherlands,NLD,2000,1.5926188E7
Netherlands,NLD,2001,1.6018112E7
Netherlands,NLD,2002,1.6110355E7
Netherlands,NLD,2003,1.6200948E7
Netherlands,NLD,2004,1.6287183E7
Netherlands,NLD,2005,1.6367153E7
Netherlands,NLD,2006,1.6440091E7
Netherlands,NLD,2007,1.6506651E7
Netherlands,NLD,2008,1.6568105E7
Netherlands,NLD,2009,1.6626379E7
Netherlands,NLD,2010,1.6682927E7
Netherlands,NLD,2011,1.673819E7
Netherlands,NLD,2012,1.679185E7
Netherlands,NLD,2013,1.6843512E7
Netherlands,NLD,2014,1.6892517E7
Netherlands,NLD,2015,1.6938492E7
Netherlands,NLD,2016,1.6981285E7
Netherlands,NLD,2017,1.7021343E7
Netherlands,NLD,2018,1.705956E7
Netherlands,NLD,2019,1.7097123E7
Netherlands,NLD,2020,1.7134873E7
Netherlands,NLD,2021,1.7173094E7
Netherlands,NLD,2022,1.7211449E7
