Entity,cca3,Year,population
Nepal,NPL,1990,1.890548E7
Nepal,NPL,1991,1.9405506E7
Nepal,NPL,1992,1.9938322E7
Nepal,NPL,1993,2.0489973E7
Nepal,NPL,1994,2.1040899E7
Nepal,NPL,1995,2.1576074E7
Nepal,NPL,1996,2.2090352E7
Nepal,NPL,1997,2.2584772E7
Nepal,NPL,1998,2.3057875E7
Nepal,NPL,1999,2.3509971E7
Nepal,NPL,2000,2.3941099E7
Nepal,NPL,2001,2.4347113E7
Nepal,NPL,2002,2.4725625E7
Nepal,NPL,2003,2.508088E7
Nepal,NPL,2004,2.5419337E7
Nepal,NPL,2005,2.57445E7
Nepal,NPL,2006,2.6066687E7
Nepal,NPL,2007,2.6382586E7
Nepal,NPL,2008,2.6666581E7
Nepal,NPL,2009,2.6883531E7
Nepal,NPL,2010,2.7013207E7
Nepal,NPL,2011,2.704122E7
Nepal,NPL,2012,2.698916E7
Nepal,NPL,2013,2.6916795E7
Nepal,NPL,2014,2.6905982E7
Nepal,NPL,2015,2.7015033E7
Nepal,NPL,2016,2.726343E7
Nepal,NPL,2017,2.7632682E7
Nepal,NPL,2018,2.8095712E7
Nepal,NPL,2019,2.8608715E7
Nepal,NPL,2020,2.9136808E7
Nepal,NPL,2021,2.967492E7
Nepal,NPL,2022,3.0225581E7
