Entity,cca3,Year,population
Nauru,NRU,1990,9506.0
Nauru,NRU,1991,9766.0
Nauru,NRU,1992,10030.0
Nauru,NRU,1993,10287.0
Nauru,NRU,1994,10496.0
Nauru,NRU,1995,10626.0
Nauru,NRU,1996,10677.0
Nauru,NRU,1997,10643.0
Nauru,NRU,1998,10567.0
Nauru,NRU,1999,10449.0
Nauru,NRU,2000,10335.0
Nauru,NRU,2001,10219.0
Nauru,NRU,2002,10102.0
Nauru,NRU,2003,9990.0
Nauru,NRU,2004,9906.0
Nauru,NRU,2005,9848.0
Nauru,NRU,2006,9827.0
Nauru,NRU,2007,9846.0
Nauru,NRU,2008,9880.0
Nauru,NRU,2009,9945.0
Nauru,NRU,2010,10009.0
Nauru,NRU,2011,10069.0
Nauru,NRU,2012,10136.0
Nauru,NRU,2013,10208.0
Nauru,NRU,2014,10289.0
Nauru,NRU,2015,10374.0
Nauru,NRU,2016,10474.0
Nauru,NRU,2017,10577.0
Nauru,NRU,2018,10678.0
Nauru,NRU,2019,10764.0
Nauru,NRU,2020,10834.0
Nauru,NRU,2021,10873.0
Nauru,NRU,2022,10894.0
