Entity,cca3,Year,population
New Zealand,NZL,1990,3398175.0
New Zealand,NZL,1991,3446171.0
New Zealand,NZL,1992,3503194.0
New Zealand,NZL,1993,3564473.0
New Zealand,NZL,1994,3623272.0
New Zealand,NZL,1995,3674940.0
New Zealand,NZL,1996,3717352.0
New Zealand,NZL,1997,3752355.0
New Zealand,NZL,1998,3783976.0
New Zealand,NZL,1999,3818128.0
New Zealand,NZL,2000,3858992.0
New Zealand,NZL,2001,3907941.0
New Zealand,NZL,2002,3963202.0
New Zealand,NZL,2003,4022074.0
New Zealand,NZL,2004,4080421.0
New Zealand,NZL,2005,4135353.0
New Zealand,NZL,2006,4185881.0
New Zealand,NZL,2007,4233046.0
New Zealand,NZL,2008,4278156.0
New Zealand,NZL,2009,4323338.0
New Zealand,NZL,2010,4370060.0
New Zealand,NZL,2011,4418674.0
New Zealand,NZL,2012,4468462.0
New Zealand,NZL,2013,4518519.0
New Zealand,NZL,2014,4567522.0
New Zealand,NZL,2015,4614527.0
New Zealand,NZL,2016,4659265.0
New Zealand,NZL,2017,4702029.0
New Zealand,NZL,2018,4743131.0
New Zealand,NZL,2019,4783062.0
New Zealand,NZL,2020,4822233.0
New Zealand,NZL,2021,4860642.0
New Zealand,NZL,2022,4898201.0
