Entity,cca3,Year,population
Oman,OMN,1990,1812158.0
Oman,OMN,1991,1893761.0
Oman,OMN,1992,1983272.0
Oman,OMN,1993,2072106.0
Oman,OMN,1994,2148416.0
Oman,OMN,1995,2204267.0
Oman,OMN,1996,2236652.0
Oman,OMN,1997,2249759.0
Oman,OMN,1998,2251859.0
Oman,OMN,1999,2254898.0
Oman,OMN,2000,2267973.0
Oman,OMN,2001,2294959.0
Oman,OMN,2002,2334860.0
Oman,OMN,2003,2386164.0
Oman,OMN,2004,2445524.0
Oman,OMN,2005,2511254.0
Oman,OMN,2006,2580753.0
Oman,OMN,2007,2657162.0
Oman,OMN,2008,2750956.0
Oman,OMN,2009,2876186.0
Oman,OMN,2010,3041435.0
Oman,OMN,2011,3251102.0
Oman,OMN,2012,3498031.0
Oman,OMN,2013,3764805.0
Oman,OMN,2014,4027255.0
Oman,OMN,2015,4267341.0
Oman,OMN,2016,4479217.0
Oman,OMN,2017,4665926.0
Oman,OMN,2018,4829476.0
Oman,OMN,2019,4974992.0
Oman,OMN,2020,5106622.0
Oman,OMN,2021,5223376.0
Oman,OMN,2022,5324000.0
