Entity,cca3,Year,population
Pakistan,PAK,1990,1.07647918E8
Pakistan,PAK,1991,1.10778655E8
Pakistan,PAK,1992,1.13911126E8
Pakistan,PAK,1993,1.1708668E8
Pakistan,PAK,1994,1.20362764E8
Pakistan,PAK,1995,1.23776835E8
Pakistan,PAK,1996,1.27349293E8
Pakistan,PAK,1997,1.31057432E8
Pakistan,PAK,1998,1.34843233E8
Pakistan,PAK,1999,1.38624625E8
Pakistan,PAK,2000,1.42343583E8
Pakistan,PAK,2001,1.45978408E8
Pakistan,PAK,2002,1.49549695E8
Pakistan,PAK,2003,1.53093371E8
Pakistan,PAK,2004,1.56664698E8
Pakistan,PAK,2005,1.60304007E8
Pakistan,PAK,2006,1.64022626E8
Pakistan,PAK,2007,1.67808106E8
Pakistan,PAK,2008,1.71648984E8
Pakistan,PAK,2009,1.7552561E8
Pakistan,PAK,2010,1.79424643E8
Pakistan,PAK,2011,1.83340168E8
Pakistan,PAK,2012,1.87280125E8
Pakistan,PAK,2013,1.91260799E8
Pakistan,PAK,2014,1.95305012E8
Pakistan,PAK,2015,1.99426953E8
Pakistan,PAK,2016,2.03631356E8
Pakistan,PAK,2017,2.0790621E8
Pakistan,PAK,2018,2.12228288E8
Pakistan,PAK,2019,2.16565317E8
Pakistan,PAK,2020,2.20892331E8
Pakistan,PAK,2021,2.25199929E8
Pakistan,PAK,2022,2.29488996E8
