Entity,cca3,Year,population
Peru,PER,1990,2.2071433E7
Peru,PER,1991,2.2522383E7
Peru,PER,1992,2.2966822E7
Peru,PER,1993,2.3408135E7
Peru,PER,1994,2.3851405E7
Peru,PER,1995,2.4299168E7
Peru,PER,1996,2.4753825E7
Peru,PER,1997,2.5210957E7
Peru,PER,1998,2.565807E7
Peru,PER,1999,2.6078295E7
Peru,PER,2000,2.6459944E7
Peru,PER,2001,2.6799289E7
Peru,PER,2002,2.7100964E7
Peru,PER,2003,2.7372217E7
Peru,PER,2004,2.7624226E7
Peru,PER,2005,2.786614E7
Peru,PER,2006,2.8102055E7
Peru,PER,2007,2.833305E7
Peru,PER,2008,2.8562321E7
Peru,PER,2009,2.8792663E7
Peru,PER,2010,2.902768E7
Peru,PER,2011,2.9264314E7
Peru,PER,2012,2.950679E7
Peru,PER,2013,2.9773986E7
Peru,PER,2014,3.0090372E7
Peru,PER,2015,3.0470739E7
Peru,PER,2016,3.0926036E7
Peru,PER,2017,3.1444299E7
Peru,PER,2018,3.1989265E7
Peru,PER,2019,3.2510462E7
Peru,PER,2020,3.2971845E7
Peru,PER,2021,3.3359415E7
Peru,PER,2022,3.3684218E7
