Entity,cca3,Year,population
Palau,PLW,1990,15063.0
Palau,PLW,1991,15442.0
Palau,PLW,1992,15859.0
Palau,PLW,1993,16285.0
Palau,PLW,1994,16735.0
Palau,PLW,1995,17158.0
Palau,PLW,1996,17599.0
Palau,PLW,1997,18016.0
Palau,PLW,1998,18409.0
Palau,PLW,1999,18773.0
Palau,PLW,2000,19104.0
Palau,PLW,2001,19390.0
Palau,PLW,2002,19642.0
Palau,PLW,2003,19812.0
Palau,PLW,2004,19861.0
Palau,PLW,2005,19784.0
Palau,PLW,2006,19545.0
Palau,PLW,2007,19159.0
Palau,PLW,2008,18708.0
Palau,PLW,2009,18290.0
Palau,PLW,2010,17954.0
Palau,PLW,2011,17748.0
Palau,PLW,2012,17635.0
Palau,PLW,2013,17603.0
Palau,PLW,2014,17625.0
Palau,PLW,2015,17665.0
Palau,PLW,2016,17718.0
Palau,PLW,2017,17809.0
Palau,PLW,2018,17911.0
Palau,PLW,2019,18001.0
Palau,PLW,2020,18092.0
Palau,PLW,2021,18174.0
Palau,PLW,2022,18227.0
