Entity,cca3,Year,population
Papua New Guinea,PNG,1990,4615843.0
Papua New Guinea,PNG,1991,4725543.0
Papua New Guinea,PNG,1992,4836216.0
Papua New Guinea,PNG,1993,4949053.0
Papua New Guinea,PNG,1994,5065664.0
Papua New Guinea,PNG,1995,5187063.0
Papua New Guinea,PNG,1996,5314258.0
Papua New Guinea,PNG,1997,5446633.0
Papua New Guinea,PNG,1998,5581767.0
Papua New Guinea,PNG,1999,5716166.0
Papua New Guinea,PNG,2000,5847590.0
Papua New Guinea,PNG,2001,5974627.0
Papua New Guinea,PNG,2002,6098621.0
Papua New Guinea,PNG,2003,6223378.0
Papua New Guinea,PNG,2004,6354247.0
Papua New Guinea,PNG,2005,6494902.0
Papua New Guinea,PNG,2006,6646891.0
Papua New Guinea,PNG,2007,6808503.0
Papua New Guinea,PNG,2008,6976200.0
Papua New Guinea,PNG,2009,7144774.0
Papua New Guinea,PNG,2010,7310512.0
Papua New Guinea,PNG,2011,7472196.0
Papua New Guinea,PNG,2012,7631003.0
Papua New Guinea,PNG,2013,7788388.0
Papua New Guinea,PNG,2014,7946733.0
Papua New Guinea,PNG,2015,8107772.0
Papua New Guinea,PNG,2016,8271766.0
Papua New Guinea,PNG,2017,8438038.0
Papua New Guinea,PNG,2018,8606324.0
Papua New Guinea,PNG,2019,8776119.0
Papua New Guinea,PNG,2020,8947027.0
Papua New Guinea,PNG,2021,9119005.0
Papua New Guinea,PNG,2022,9292172.0
