Entity,cca3,Year,population
Puerto Rico,PRI,1990,3403168.0
Puerto Rico,PRI,1991,3435255.0
Puerto Rico,PRI,1992,3469071.0
Puerto Rico,PRI,1993,3503470.0
Puerto Rico,PRI,1994,3536806.0
Puerto Rico,PRI,1995,3567691.0
Puerto Rico,PRI,1996,3596099.0
Puerto Rico,PRI,1997,3621900.0
Puerto Rico,PRI,1998,3643672.0
Puerto Rico,PRI,1999,3659730.0
Puerto Rico,PRI,2000,3668955.0
Puerto Rico,PRI,2001,3670308.0
Puerto Rico,PRI,2002,3664321.0
Puerto Rico,PRI,2003,3653660.0
Puerto Rico,PRI,2004,3642005.0
Puerto Rico,PRI,2005,3631885.0
Puerto Rico,PRI,2006,3623783.0
Puerto Rico,PRI,2007,3616341.0
Puerto Rico,PRI,2008,3608030.0
Puerto Rico,PRI,2009,3596532.0
Puerto Rico,PRI,2010,3579842.0
Puerto Rico,PRI,2011,3559862.0
Puerto Rico,PRI,2012,3536570.0
Puerto Rico,PRI,2013,3503865.0
Puerto Rico,PRI,2014,3453667.0
Puerto Rico,PRI,2015,3381512.0
Puerto Rico,PRI,2016,3283121.0
Puerto Rico,PRI,2017,3163676.0
Puerto Rico,PRI,2018,3039598.0
Puerto Rico,PRI,2019,2933404.0
Puerto Rico,PRI,2020,2860840.0
Puerto Rico,PRI,2021,2828246.0
Puerto Rico,PRI,2022,2829807.0
