Entity,cca3,Year,population
Portugal,PRT,1990,9895358.0
Portugal,PRT,1991,9916052.0
Portugal,PRT,1992,9951305.0
Portugal,PRT,1993,9996642.0
Portugal,PRT,1994,1.0045032E7
Portugal,PRT,1995,1.0091322E7
Portugal,PRT,1996,1.0134016E7
Portugal,PRT,1997,1.0174564E7
Portugal,PRT,1998,1.0214046E7
Portugal,PRT,1999,1.0254501E7
Portugal,PRT,2000,1.0297117E7
Portugal,PRT,2001,1.0341456E7
Portugal,PRT,2002,1.0385993E7
Portugal,PRT,2003,1.0429615E7
Portugal,PRT,2004,1.0470926E7
Portugal,PRT,2005,1.0508494E7
Portugal,PRT,2006,1.0542837E7
Portugal,PRT,2007,1.057315E7
Portugal,PRT,2008,1.0595312E7
Portugal,PRT,2009,1.0604066E7
Portugal,PRT,2010,1.0596055E7
Portugal,PRT,2011,1.0569388E7
Portugal,PRT,2012,1.0526308E7
Portugal,PRT,2013,1.0473025E7
Portugal,PRT,2014,1.0418224E7
Portugal,PRT,2015,1.0368346E7
Portugal,PRT,2016,1.032554E7
Portugal,PRT,2017,1.0288527E7
Portugal,PRT,2018,1.0256192E7
Portugal,PRT,2019,1.0226178E7
Portugal,PRT,2020,1.0196707E7
Portugal,PRT,2021,1.0167923E7
Portugal,PRT,2022,1.0140568E7
