Entity,cca3,Year,population
Paraguay,PRY,1990,4223413.0
Paraguay,PRY,1991,4334348.0
Paraguay,PRY,1992,4445019.0
Paraguay,PRY,1993,4555518.0
Paraguay,PRY,1994,4666096.0
Paraguay,PRY,1995,4776838.0
Paraguay,PRY,1996,4887638.0
Paraguay,PRY,1997,4998096.0
Paraguay,PRY,1998,5107840.0
Paraguay,PRY,1999,5216346.0
Paraguay,PRY,2000,5323202.0
Paraguay,PRY,2001,5428442.0
Paraguay,PRY,2002,5531958.0
Paraguay,PRY,2003,5632983.0
Paraguay,PRY,2004,5730556.0
Paraguay,PRY,2005,5824095.0
Paraguay,PRY,2006,5913212.0
Paraguay,PRY,2007,5998430.0
Paraguay,PRY,2008,6081296.0
Paraguay,PRY,2009,6163970.0
Paraguay,PRY,2010,6248017.0
Paraguay,PRY,2011,6333981.0
Paraguay,PRY,2012,6421510.0
Paraguay,PRY,2013,6510273.0
Paraguay,PRY,2014,6599524.0
Paraguay,PRY,2015,6688746.0
Paraguay,PRY,2016,6777878.0
Paraguay,PRY,2017,6867058.0
Paraguay,PRY,2018,6956069.0
Paraguay,PRY,2019,7044639.0
Paraguay,PRY,2020,7132530.0
Paraguay,PRY,2021,7219641.0
Paraguay,PRY,2022,7305842.0
