Entity,cca3,Year,population
Palestine,PSE,1990,2101445.0
Palestine,PSE,1991,2191000.0
Palestine,PSE,1992,2287676.0
Palestine,PSE,1993,2391399.0
Palestine,PSE,1994,2501973.0
Palestine,PSE,1995,2618671.0
Palestine,PSE,1996,2742534.0
Palestine,PSE,1997,2872006.0
Palestine,PSE,1998,3000624.0
Palestine,PSE,1999,3119868.0
Palestine,PSE,2000,3224009.0
Palestine,PSE,2001,3309908.0
Palestine,PSE,2002,3380161.0
Palestine,PSE,2003,3441868.0
Palestine,PSE,2004,3505320.0
Palestine,PSE,2005,3577956.0
Palestine,PSE,2006,3662421.0
Palestine,PSE,2007,3756459.0
Palestine,PSE,2008,3856692.0
Palestine,PSE,2009,3957684.0
Palestine,PSE,2010,4055632.0
Palestine,PSE,2011,4149654.0
Palestine,PSE,2012,4241572.0
Palestine,PSE,2013,4333521.0
Palestine,PSE,2014,4428634.0
Palestine,PSE,2015,4529160.0
Palestine,PSE,2016,4635644.0
Palestine,PSE,2017,4747233.0
Palestine,PSE,2018,4862978.0
Palestine,PSE,2019,4981422.0
Palestine,PSE,2020,5101416.0
Palestine,PSE,2021,5222756.0
Palestine,PSE,2022,5345545.0
