Entity,cca3,Year,population
French Polynesia,PYF,1990,199906.0
French Polynesia,PYF,1991,203716.0
French Polynesia,PYF,1992,207238.0
French Polynesia,PYF,1993,210644.0
French Polynesia,PYF,1994,214196.0
French Polynesia,PYF,1995,218064.0
French Polynesia,PYF,1996,222323.0
French Polynesia,PYF,1997,226854.0
French Polynesia,PYF,1998,231562.0
French Polynesia,PYF,1999,236217.0
French Polynesia,PYF,2000,240681.0
French Polynesia,PYF,2001,244929.0
French Polynesia,PYF,2002,248976.0
French Polynesia,PYF,2003,252707.0
French Polynesia,PYF,2004,255995.0
French Polynesia,PYF,2005,258779.0
French Polynesia,PYF,2006,261007.0
French Polynesia,PYF,2007,262717.0
French Polynesia,PYF,2008,264064.0
French Polynesia,PYF,2009,265256.0
French Polynesia,PYF,2010,266449.0
French Polynesia,PYF,2011,267702.0
French Polynesia,PYF,2012,268995.0
French Polynesia,PYF,2013,270332.0
French Polynesia,PYF,2014,271713.0
French Polynesia,PYF,2015,273119.0
French Polynesia,PYF,2016,274576.0
French Polynesia,PYF,2017,276108.0
French Polynesia,PYF,2018,277673.0
French Polynesia,PYF,2019,279285.0
French Polynesia,PYF,2020,280904.0
French Polynesia,PYF,2021,282534.0
French Polynesia,PYF,2022,284160.0
