Entity,cca3,Year,population
Reunion,REU,1990,610584.0
Reunion,REU,1991,622413.0
Reunion,REU,1992,634793.0
Reunion,REU,1993,647590.0
Reunion,REU,1994,660565.0
Reunion,REU,1995,673543.0
Reunion,REU,1996,686462.0
Reunion,REU,1997,699307.0
Reunion,REU,1998,712000.0
Reunion,REU,1999,724484.0
Reunion,REU,2000,736714.0
Reunion,REU,2001,748653.0
Reunion,REU,2002,760250.0
Reunion,REU,2003,771377.0
Reunion,REU,2004,781861.0
Reunion,REU,2005,791598.0
Reunion,REU,2006,800533.0
Reunion,REU,2007,808728.0
Reunion,REU,2008,816325.0
Reunion,REU,2009,823529.0
Reunion,REU,2010,830507.0
Reunion,REU,2011,837336.0
Reunion,REU,2012,843984.0
Reunion,REU,2013,850506.0
Reunion,REU,2014,856960.0
Reunion,REU,2015,863359.0
Reunion,REU,2016,869742.0
Reunion,REU,2017,876131.0
Reunion,REU,2018,882531.0
Reunion,REU,2019,888932.0
Reunion,REU,2020,895308.0
Reunion,REU,2021,901696.0
Reunion,REU,2022,908063.0
