Entity,cca3,Year,population
Romania,ROU,1990,2.3489156E7
Romania,ROU,1991,2.3456646E7
Romania,ROU,1992,2.3375828E7
Romania,ROU,1993,2.3256959E7
Romania,ROU,1994,2.3115814E7
Romania,ROU,1995,2.2964747E7
Romania,ROU,1996,2.2805706E7
Romania,ROU,1997,2.26376E7
Romania,ROU,1998,2.2466291E7
Romania,ROU,1999,2.2298122E7
Romania,ROU,2000,2.2137423E7
Romania,ROU,2001,2.1989354E7
Romania,ROU,2002,2.1853278E7
Romania,ROU,2003,2.1720403E7
Romania,ROU,2004,2.157789E7
Romania,ROU,2005,2.1417287E7
Romania,ROU,2006,2.1234312E7
Romania,ROU,2007,2.1034196E7
Romania,ROU,2008,2.0829521E7
Romania,ROU,2009,2.0637995E7
Romania,ROU,2010,2.047186E7
Romania,ROU,2011,2.0336718E7
Romania,ROU,2012,2.0227467E7
Romania,ROU,2013,2.013278E7
Romania,ROU,2014,2.0035928E7
Romania,ROU,2015,1.9925182E7
Romania,ROU,2016,1.979628E7
Romania,ROU,2017,1.9653966E7
Romania,ROU,2018,1.950611E7
Romania,ROU,2019,1.9364558E7
Romania,ROU,2020,1.9237682E7
Romania,ROU,2021,1.9127772E7
Romania,ROU,2022,1.903133E7
