Entity,cca3,Year,population
Russia,RUS,1990,1.47531562E8
Russia,RUS,1991,1.47995584E8
Russia,RUS,1992,1.48268576E8
Russia,RUS,1993,1.48373584E8
Russia,RUS,1994,1.48349443E8
Russia,RUS,1995,1.48227471E8
Russia,RUS,1996,1.48020852E8
Russia,RUS,1997,1.4773002E8
Russia,RUS,1998,1.47360613E8
Russia,RUS,1999,1.46915915E8
Russia,RUS,2000,1.4640489E8
Russia,RUS,2001,1.45830726E8
Russia,RUS,2002,1.45215707E8
Russia,RUS,2003,1.44610876E8
Russia,RUS,2004,1.44080649E8
Russia,RUS,2005,1.43672125E8
Russia,RUS,2006,1.43403258E8
Russia,RUS,2007,1.43266207E8
Russia,RUS,2008,1.43248764E8
Russia,RUS,2009,1.43326904E8
Russia,RUS,2010,1.43479273E8
Russia,RUS,2011,1.43703027E8
Russia,RUS,2012,1.43993888E8
Russia,RUS,2013,1.44325456E8
Russia,RUS,2014,1.44664837E8
Russia,RUS,2015,1.44985059E8
Russia,RUS,2016,1.45275374E8
Russia,RUS,2017,1.45530091E8
Russia,RUS,2018,1.45734034E8
Russia,RUS,2019,1.4587226E8
Russia,RUS,2020,1.4593446E8
Russia,RUS,2021,1.45912022E8
Russia,RUS,2022,1.45805944E8
