Entity,cca3,Year,population
Rwanda,RWA,1990,7288883.0
Rwanda,RWA,1991,7083928.0
Rwanda,RWA,1992,6702239.0
Rwanda,RWA,1993,6263758.0
Rwanda,RWA,1994,5936253.0
Rwanda,RWA,1995,5836490.0
Rwanda,RWA,1996,6013112.0
Rwanda,RWA,1997,6419898.0
Rwanda,RWA,1998,6962800.0
Rwanda,RWA,1999,7501238.0
Rwanda,RWA,2000,7933688.0
Rwanda,RWA,2001,8231150.0
Rwanda,RWA,2002,8427061.0
Rwanda,RWA,2003,8557160.0
Rwanda,RWA,2004,8680516.0
Rwanda,RWA,2005,8840220.0
Rwanda,RWA,2006,9043342.0
Rwanda,RWA,2007,9273759.0
Rwanda,RWA,2008,9524532.0
Rwanda,RWA,2009,9782770.0
Rwanda,RWA,2010,1.0039338E7
Rwanda,RWA,2011,1.0293333E7
Rwanda,RWA,2012,1.0549668E7
Rwanda,RWA,2013,1.0811538E7
Rwanda,RWA,2014,1.1083629E7
Rwanda,RWA,2015,1.1369066E7
Rwanda,RWA,2016,1.1668829E7
Rwanda,RWA,2017,1.198096E7
Rwanda,RWA,2018,1.2301969E7
Rwanda,RWA,2019,1.2626938E7
Rwanda,RWA,2020,1.2952209E7
Rwanda,RWA,2021,1.3276517E7
Rwanda,RWA,2022,1.3600466E7
