Entity,cca3,Year,population
Saudi Arabia,SAU,1990,1.6233786E7
Saudi Arabia,SAU,1991,1.6772695E7
Saudi Arabia,SAU,1992,1.7282686E7
Saudi Arabia,SAU,1993,1.7763297E7
Saudi Arabia,SAU,1994,1.8214475E7
Saudi Arabia,SAU,1995,1.863879E7
Saudi Arabia,SAU,1996,1.9033843E7
Saudi Arabia,SAU,1997,1.9407138E7
Saudi Arabia,SAU,1998,1.9783301E7
Saudi Arabia,SAU,1999,2.0194531E7
Saudi Arabia,SAU,2000,2.066384E7
Saudi Arabia,SAU,2001,2.1202646E7
Saudi Arabia,SAU,2002,2.1805322E7
Saudi Arabia,SAU,2003,2.2456645E7
Saudi Arabia,SAU,2004,2.3132686E7
Saudi Arabia,SAU,2005,2.3816175E7
Saudi Arabia,SAU,2006,2.4498313E7
Saudi Arabia,SAU,2007,2.5184589E7
Saudi Arabia,SAU,2008,2.5888535E7
Saudi Arabia,SAU,2009,2.6630303E7
Saudi Arabia,SAU,2010,2.7421468E7
Saudi Arabia,SAU,2011,2.8267591E7
Saudi Arabia,SAU,2012,2.9154906E7
Saudi Arabia,SAU,2013,3.0052058E7
Saudi Arabia,SAU,2014,3.0916603E7
Saudi Arabia,SAU,2015,3.1717676E7
Saudi Arabia,SAU,2016,3.2443443E7
Saudi Arabia,SAU,2017,3.3101182E7
Saudi Arabia,SAU,2018,3.3702757E7
Saudi Arabia,SAU,2019,3.4268529E7
Saudi Arabia,SAU,2020,3.4813867E7
Saudi Arabia,SAU,2021,3.534068E7
Saudi Arabia,SAU,2022,3.5844913E7
