Entity,cca3,Year,population
Sudan,SDN,1990,2.0147592E7
Sudan,SDN,1991,2.0891442E7
Sudan,SDN,1992,2.169624E7
Sudan,SDN,1993,2.2527837E7
Sudan,SDN,1994,2.3338465E7
Sudan,SDN,1995,2.4094741E7
Sudan,SDN,1996,2.4782384E7
Sudan,SDN,1997,2.5413912E7
Sudan,SDN,1998,2.6015518E7
Sudan,SDN,1999,2.6626512E7
Sudan,SDN,2000,2.7275019E7
Sudan,SDN,2001,2.7971077E7
Sudan,SDN,2002,2.8704786E7
Sudan,SDN,2003,2.9460517E7
Sudan,SDN,2004,3.0214189E7
Sudan,SDN,2005,3.0949514E7
Sudan,SDN,2006,3.1661824E7
Sudan,SDN,2007,3.2360619E7
Sudan,SDN,2008,3.3060843E7
Sudan,SDN,2009,3.3783779E7
Sudan,SDN,2010,3.4545014E7
Sudan,SDN,2011,3.5349676E7
Sudan,SDN,2012,3.6193781E7
Sudan,SDN,2013,3.7072555E7
Sudan,SDN,2014,3.7977657E7
Sudan,SDN,2015,3.8902948E7
Sudan,SDN,2016,3.9847433E7
Sudan,SDN,2017,4.0813398E7
Sudan,SDN,2018,4.1801532E7
Sudan,SDN,2019,4.2813237E7
Sudan,SDN,2020,4.3849269E7
Sudan,SDN,2021,4.4909351E7
Sudan,SDN,2022,4.5992018E7
