Entity,cca3,Year,population
Senegal,SEN,1990,7526306.0
Senegal,SEN,1991,7755503.0
Senegal,SEN,1992,7990090.0
Senegal,SEN,1993,8226749.0
Senegal,SEN,1994,8461066.0
Senegal,SEN,1995,8690155.0
Senegal,SEN,1996,8912872.0
Senegal,SEN,1997,9130876.0
Senegal,SEN,1998,9347777.0
Senegal,SEN,1999,9568717.0
Senegal,SEN,2000,9797731.0
Senegal,SEN,2001,1.0036102E7
Senegal,SEN,2002,1.0283694E7
Senegal,SEN,2003,1.054147E7
Senegal,SEN,2004,1.0810086E7
Senegal,SEN,2005,1.1090123E7
Senegal,SEN,2006,1.1382272E7
Senegal,SEN,2007,1.1687078E7
Senegal,SEN,2008,1.20047E7
Senegal,SEN,2009,1.2335092E7
Senegal,SEN,2010,1.2678143E7
Senegal,SEN,2011,1.3033814E7
Senegal,SEN,2012,1.340199E7
Senegal,SEN,2013,1.3782429E7
Senegal,SEN,2014,1.417474E7
Senegal,SEN,2015,1.457845E7
Senegal,SEN,2016,1.4993514E7
Senegal,SEN,2017,1.5419354E7
Senegal,SEN,2018,1.5854324E7
Senegal,SEN,2019,1.6296362E7
Senegal,SEN,2020,1.674393E7
Senegal,SEN,2021,1.7196308E7
Senegal,SEN,2022,1.7653669E7
