Entity,cca3,Year,population
Saint Helena,SHN,1990,6654.0
Saint Helena,SHN,1991,6573.0
Saint Helena,SHN,1992,6487.0
Saint Helena,SHN,1993,6394.0
Saint Helena,SHN,1994,6305.0
Saint Helena,SHN,1995,6244.0
Saint Helena,SHN,1996,6200.0
Saint Helena,SHN,1997,6185.0
Saint Helena,SHN,1998,6166.0
Saint Helena,SHN,1999,6125.0
Saint Helena,SHN,2000,6054.0
Saint Helena,SHN,2001,5944.0
Saint Helena,SHN,2002,5799.0
Saint Helena,SHN,2003,5644.0
Saint Helena,SHN,2004,5489.0
Saint Helena,SHN,2005,5354.0
Saint Helena,SHN,2006,5261.0
Saint Helena,SHN,2007,5184.0
Saint Helena,SHN,2008,5153.0
Saint Helena,SHN,2009,5135.0
Saint Helena,SHN,2010,5183.0
Saint Helena,SHN,2011,5281.0
Saint Helena,SHN,2012,5416.0
Saint Helena,SHN,2013,5583.0
Saint Helena,SHN,2014,5737.0
Saint Helena,SHN,2015,5869.0
Saint Helena,SHN,2016,5958.0
Saint Helena,SHN,2017,6008.0
Saint Helena,SHN,2018,6039.0
Saint Helena,SHN,2019,6061.0
Saint Helena,SHN,2020,6071.0
Saint Helena,SHN,2021,6095.0
Saint Helena,SHN,2022,6108.0
