Entity,cca3,Year,population
Sierra Leone,SLE,1990,4319763.0
Sierra Leone,SLE,1991,4348663.0
Sierra Leone,SLE,1992,4347727.0
Sierra Leone,SLE,1993,4328965.0
Sierra Leone,SLE,1994,4309780.0
Sierra Leone,SLE,1995,4303953.0
Sierra Leone,SLE,1996,4312660.0
Sierra Leone,SLE,1997,4335295.0
Sierra Leone,SLE,1998,4381484.0
Sierra Leone,SLE,1999,4462374.0
Sierra Leone,SLE,2000,4584570.0
Sierra Leone,SLE,2001,4754069.0
Sierra Leone,SLE,2002,4965770.0
Sierra Leone,SLE,2003,5201074.0
Sierra Leone,SLE,2004,5433995.0
Sierra Leone,SLE,2005,5645629.0
Sierra Leone,SLE,2006,5829240.0
Sierra Leone,SLE,2007,5989641.0
Sierra Leone,SLE,2008,6133599.0
Sierra Leone,SLE,2009,6272735.0
Sierra Leone,SLE,2010,6415636.0
Sierra Leone,SLE,2011,6563238.0
Sierra Leone,SLE,2012,6712586.0
Sierra Leone,SLE,2013,6863975.0
Sierra Leone,SLE,2014,7017153.0
Sierra Leone,SLE,2015,7171909.0
Sierra Leone,SLE,2016,7328846.0
Sierra Leone,SLE,2017,7488427.0
Sierra Leone,SLE,2018,7650149.0
Sierra Leone,SLE,2019,7813207.0
Sierra Leone,SLE,2020,7976985.0
Sierra Leone,SLE,2021,8141343.0
Sierra Leone,SLE,2022,8306441.0
