Entity,cca3,Year,population
San Marino,SMR,1990,24124.0
San Marino,SMR,1991,24454.0
San Marino,SMR,1992,24830.0
San Marino,SMR,1993,25208.0
San Marino,SMR,1994,25588.0
San Marino,SMR,1995,25925.0
San Marino,SMR,1996,26253.0
San Marino,SMR,1997,26563.0
San Marino,SMR,1998,26851.0
San Marino,SMR,1999,27141.0
San Marino,SMR,2000,27460.0
San Marino,SMR,2001,27818.0
San Marino,SMR,2002,28175.0
San Marino,SMR,2003,28561.0
San Marino,SMR,2004,28942.0
San Marino,SMR,2005,29324.0
San Marino,SMR,2006,29694.0
San Marino,SMR,2007,30068.0
San Marino,SMR,2008,30434.0
San Marino,SMR,2009,30825.0
San Marino,SMR,2010,31221.0
San Marino,SMR,2011,31655.0
San Marino,SMR,2012,32103.0
San Marino,SMR,2013,32554.0
San Marino,SMR,2014,32941.0
San Marino,SMR,2015,33270.0
San Marino,SMR,2016,33503.0
San Marino,SMR,2017,33671.0
San Marino,SMR,2018,33784.0
San Marino,SMR,2019,33864.0
San Marino,SMR,2020,33938.0
San Marino,SMR,2021,34010.0
San Marino,SMR,2022,34076.0
