Entity,cca3,Year,population
Somalia,SOM,1990,7225089.0
Somalia,SOM,1991,7274026.0
Somalia,SOM,1992,7295380.0
Somalia,SOM,1993,7315864.0
Somalia,SOM,1994,7372592.0
Somalia,SOM,1995,7491647.0
Somalia,SOM,1996,7682683.0
Somalia,SOM,1997,7936122.0
Somalia,SOM,1998,8235064.0
Somalia,SOM,1999,8553595.0
Somalia,SOM,2000,8872250.0
Somalia,SOM,2001,9186719.0
Somalia,SOM,2002,9501335.0
Somalia,SOM,2003,9815412.0
Somalia,SOM,2004,1.0130251E7
Somalia,SOM,2005,1.0446856E7
Somalia,SOM,2006,1.0763904E7
Somalia,SOM,2007,1.1080122E7
Somalia,SOM,2008,1.1397188E7
Somalia,SOM,2009,1.1717691E7
Somalia,SOM,2010,1.2043886E7
Somalia,SOM,2011,1.2376305E7
Somalia,SOM,2012,1.2715487E7
Somalia,SOM,2013,1.3063711E7
Somalia,SOM,2014,1.3423571E7
Somalia,SOM,2015,1.3797204E7
Somalia,SOM,2016,1.4185635E7
Somalia,SOM,2017,1.4589165E7
Somalia,SOM,2018,1.5008225E7
Somalia,SOM,2019,1.5442906E7
Somalia,SOM,2020,1.5893219E7
Somalia,SOM,2021,1.63595E7
Somalia,SOM,2022,1.6841805E7
