Entity,cca3,Year,population
Saint Pierre and Miquelon,SPM,1990,6385.0
Saint Pierre and Miquelon,SPM,1991,6425.0
Saint Pierre and Miquelon,SPM,1992,6435.0
Saint Pierre and Miquelon,SPM,1993,6423.0
Saint Pierre and Miquelon,SPM,1994,6416.0
Saint Pierre and Miquelon,SPM,1995,6389.0
Saint Pierre and Miquelon,SPM,1996,6375.0
Saint Pierre and Miquelon,SPM,1997,6366.0
Saint Pierre and Miquelon,SPM,1998,6350.0
Saint Pierre and Miquelon,SPM,1999,6324.0
Saint Pierre and Miquelon,SPM,2000,6298.0
Saint Pierre and Miquelon,SPM,2001,6255.0
Saint Pierre and Miquelon,SPM,2002,6207.0
Saint Pierre and Miquelon,SPM,2003,6150.0
Saint Pierre and Miquelon,SPM,2004,6118.0
Saint Pierre and Miquelon,SPM,2005,6113.0
Saint Pierre and Miquelon,SPM,2006,6160.0
Saint Pierre and Miquelon,SPM,2007,6220.0
Saint Pierre and Miquelon,SPM,2008,6286.0
Saint Pierre and Miquelon,SPM,2009,6343.0
Saint Pierre and Miquelon,SPM,2010,6361.0
Saint Pierre and Miquelon,SPM,2011,6323.0
Saint Pierre and Miquelon,SPM,2012,6251.0
Saint Pierre and Miquelon,SPM,2013,6168.0
Saint Pierre and Miquelon,SPM,2014,6073.0
Saint Pierre and Miquelon,SPM,2015,5992.0
Saint Pierre and Miquelon,SPM,2016,5933.0
Saint Pierre and Miquelon,SPM,2017,5885.0
Saint Pierre and Miquelon,SPM,2018,5845.0
Saint Pierre and Miquelon,SPM,2019,5821.0
Saint Pierre and Miquelon,SPM,2020,5795.0
Saint Pierre and Miquelon,SPM,2021,5771.0
Saint Pierre and Miquelon,SPM,2022,5757.0
