Entity,cca3,Year,population
Serbia,SRB,1990,9517677.0
Serbia,SRB,1991,9602879.0
Serbia,SRB,1992,9701145.0
Serbia,SRB,1993,9795253.0
Serbia,SRB,1994,9861631.0
Serbia,SRB,1995,9884145.0
Serbia,SRB,1996,9856064.0
Serbia,SRB,1997,9784689.0
Serbia,SRB,1998,9685430.0
Serbia,SRB,1999,9580824.0
Serbia,SRB,2000,9487612.0
Serbia,SRB,2001,9410769.0
Serbia,SRB,2002,9346464.0
Serbia,SRB,2003,9292232.0
Serbia,SRB,2004,9242643.0
Serbia,SRB,2005,9193818.0
Serbia,SRB,2006,9145913.0
Serbia,SRB,2007,9101189.0
Serbia,SRB,2008,9060105.0
Serbia,SRB,2009,9023354.0
Serbia,SRB,2010,8991258.0
Serbia,SRB,2011,8963761.0
Serbia,SRB,2012,8940116.0
Serbia,SRB,2013,8918892.0
Serbia,SRB,2014,8898284.0
Serbia,SRB,2015,8876777.0
Serbia,SRB,2016,8853963.0
Serbia,SRB,2017,8829623.0
Serbia,SRB,2018,8802741.0
Serbia,SRB,2019,8772228.0
Serbia,SRB,2020,8737370.0
Serbia,SRB,2021,8697547.0
Serbia,SRB,2022,8653017.0
