Entity,cca3,Year,population
South Sudan,SSD,1990,5492620.0
South Sudan,SSD,1991,5420179.0
South Sudan,SSD,1992,5305449.0
South Sudan,SSD,1993,5185712.0
South Sudan,SSD,1994,5111371.0
South Sudan,SSD,1995,5118084.0
South Sudan,SSD,1996,5221925.0
South Sudan,SSD,1997,5411653.0
South Sudan,SSD,1998,5661934.0
South Sudan,SSD,1999,5933884.0
South Sudan,SSD,2000,6199396.0
South Sudan,SSD,2001,6447791.0
South Sudan,SSD,2002,6688225.0
South Sudan,SSD,2003,6935665.0
South Sudan,SSD,2004,7213354.0
South Sudan,SSD,2005,7535931.0
South Sudan,SSD,2006,7907407.0
South Sudan,SSD,2007,8315144.0
South Sudan,SSD,2008,8736932.0
South Sudan,SSD,2009,9142258.0
South Sudan,SSD,2010,9508372.0
South Sudan,SSD,2011,9830695.0
South Sudan,SSD,2012,1.0113648E7
South Sudan,SSD,2013,1.035503E7
South Sudan,SSD,2014,1.0554882E7
South Sudan,SSD,2015,1.0715657E7
South Sudan,SSD,2016,1.083252E7
South Sudan,SSD,2017,1.0910774E7
South Sudan,SSD,2018,1.0975924E7
South Sudan,SSD,2019,1.1062114E7
South Sudan,SSD,2020,1.1193729E7
South Sudan,SSD,2021,1.1381377E7
South Sudan,SSD,2022,1.1618517E7
